index,query,result_title,result_summary,expected_tag,llm_tag,llm_reason,confidence,is_correct,case_key,reviewed
16.0,婴儿 奶粉,揭秘 婴儿 奶粉 国家 生产 标准,新国标出台后，配方奶粉有哪些改变？,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：Query为'婴儿奶粉'，Title为'揭秘婴儿奶粉国家生产标准'，两者均属于【母婴用品/婴幼儿食品】超大行业，领域一致。
2. 核心诉求与实体分析：Query的核心实体是'婴儿奶粉'，核心诉求是获取关于婴儿奶粉的一般信息或产品；Title的核心实体同样是'婴儿奶粉'，但核心诉求从一般信息偏移为'国家生产标准'的揭秘和解读，这属于用户要解决的问题（任务/动作）发生了偏移——从可能的产品选择或使用转向法规标准了解。
3. 修饰词检查：Query和Title都包含'婴儿'和'奶粉'，没有丢失关键修饰词（如品牌、段数等），因此不属于丢词搜不准。
4. 边界判断：虽然实体未变，但诉求从通用信息变为特定标准解读，符合'场景衍生'定义（宏观领域一致，核心动作/诉求偏移）。无多义词歧义或跨界问题。
5. 置信度评估：诉求偏移明显（标准揭秘 vs. 一般奶粉信息），但领域高度相关，属于清晰边界，置信度高。",95,True,婴儿 奶粉 || 揭秘 婴儿 奶粉 国家 生产 标准 || 新国标出台后，配方奶粉有哪些改变？,
17.0,汽车 保养,汽车 工业 革命 百年 史,从内燃机到新能源，人类出行工具的进化。,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：Query为'汽车保养'，属于汽车使用维护领域；Title为'汽车工业革命百年史'，属于汽车历史/工业发展领域。两者宏观领域一致，都属于汽车大行业。
2. 核心诉求分析：Query的核心诉求是'保养'（维护动作），用户需要的是汽车维护相关的实用信息；Title的核心诉求是'历史/工业革命'（知识科普），提供的是汽车发展历程的背景知识。
3. 二维判断：核心实体'汽车'没变，但核心动作/诉求从'保养维护'偏移为'历史科普'，属于明显的诉求偏移。
4. 修饰词检查：没有丢失具体限制词/定语的情况，'保养'是核心动作词而非修饰词。
5. 结论：符合类别B'推荐场景衍生内容'的定义，核心实体相同但核心诉求发生明显偏移。",95,True,汽车 保养 || 汽车 工业 革命 百年 史 || 从内燃机到新能源，人类出行工具的进化。,
18.0,美白 洗面奶,RTX 4090 显卡 烤机 测试,顶级显卡在满载下的温度与功耗。,完全不相关,完全不相关,第一步：宏观领域跨界判断。用户查询'美白 洗面奶'属于美容护肤/个人护理领域，而搜索结果'RTX 4090 显卡 烤机 测试'属于计算机硬件/数码产品领域。这两个领域属于完全不同的超大行业，毫无交集。第二步：检查是否存在一词多义导致的概念偷换。'美白'和'洗面奶'都是明确的护肤概念，与'RTX 4090''显卡''烤机'等硬件术语不存在任何多义关联。这属于纯粹的跨界且无核心多义词歧义。第三步：根据判定大纲，这种情况应判为【完全不相关】。,95,True,美白 洗面奶 || RTX 4090 显卡 烤机 测试 || 顶级显卡在满载下的温度与功耗。,
19.0,龙族 小说 txt,恐龙 一族 是 怎么 灭绝 的,白垩纪晚期小行星撞击地球假说。,query理解有误,query理解有误,"1. 宏观领域判断：查询词'龙族 小说 txt'属于文学/网络小说领域，搜索结果'恐龙 一族 是 怎么 灭绝 的'属于古生物学/科普领域。两者属于完全不同的超大行业类别，毫无交集。
2. 多义词排雷：'龙族'与'恐龙一族'存在字面相似性，但'龙族'特指江南创作的奇幻小说系列，而'恐龙一族'指古生物恐龙。这属于典型的一词多义导致的概念偷换（文学虚构生物 vs 真实古生物）。
3. 核心诉求分析：用户明确搜索小说电子版（txt格式），结果却返回古生物灭绝的科普内容。用户的核心动作（获取小说资源）与结果（获取科普知识）完全无关。
4. 根据判定大纲：存在一词多义导致的概念偷换，应判为【query理解有误】而非【完全不相关】。",95,True,龙族 小说 txt || 恐龙 一族 是 怎么 灭绝 的 || 白垩纪晚期小行星撞击地球假说。,
21.0,考研 英语一 真题,考研 英语二 历年 试卷 解析,专硕英语复习重点与大纲词汇。,丢词搜不准,推荐同领域内容,"1. 宏观领域判断：Query为'考研 英语一 真题'，Title为'考研 英语二 历年 试卷 解析'，两者均属于'考研英语'这一超大行业/类目，宏观领域一致。
2. 核心诉求与实体分析：用户的核心动作/诉求均为'获取考研英语真题/试卷'，但核心实体从'英语一'被替换为'英语二'。'英语一'和'英语二'是考研英语考试中的两个不同分类（通常对应学硕和专硕），属于同级实体替换，而非诉求或形式的偏移。
3. 修饰词检查：未丢失主语（考研英语）或核心动作（真题/试卷），'英语一'和'英语二'是核心实体的具体分类，不是修饰主语的限制词/定语（如年份、型号、地域）。
4. 结论：符合类别A【推荐同领域内容（平行实体替换）】的定义，即核心诉求不变（获取考研英语真题），仅核心实体被替换为同分类下的兄弟实体（英语一变英语二）。",95,False,考研 英语一 真题 || 考研 英语二 历年 试卷 解析 || 专硕英语复习重点与大纲词汇。,
22.0,闪电侠 电影,天空 为什么 会 打 闪电,自然界雷电形成的气象学原理科普。,query理解有误,query理解有误,"1. 宏观领域判断：用户查询'闪电侠 电影'属于影视娱乐领域，具体指向DC漫画改编的超级英雄电影。搜索结果'天空 为什么 会 打 闪电'属于自然科学/气象学领域。两者属于完全不同的超大行业/类目，毫无交集。
2. 多义词排雷：'闪电'一词存在多义性。在查询中，'闪电'是'闪电侠'（The Flash）这个专有名词的一部分，指代超级英雄角色。在搜索结果中，'闪电'指自然界的雷电现象。这属于典型的一词多义导致的概念偷换，而非纯粹的跨界。
3. 核心诉求分析：用户的核心诉求是寻找关于《闪电侠》电影的信息（如剧情、演员、评价等）。搜索结果提供的是自然雷电现象的科学解释，与用户的影视娱乐诉求完全无关。
4. 归因判断：根据判定大纲第一步，存在'一词多义'（闪电）导致的概念偷换，应判为【query理解有误】。系统错误地将'闪电侠'中的'闪电'理解为自然现象，而非专有名词的一部分。
5. 置信度：由于'闪电'一词的多义性非常明确，且'闪电侠'作为知名IP的专有名词属性强，判断为高置信度。",95,True,闪电侠 电影 || 天空 为什么 会 打 闪电 || 自然界雷电形成的气象学原理科普。,
23.0,重庆 老 火锅,成都 串串香 探店,带你打卡宽窄巷子最地道的市井串串。,推荐同领域内容,推荐衍生场景内容,"1. 宏观领域判断：查询'重庆老火锅'与结果'成都串串香探店'都属于【餐饮美食】超大行业，领域一致。
2. 核心诉求与实体二维分析：
   - 核心实体：查询是'火锅'（重庆特色），结果是'串串香'（成都特色）。两者虽同属川渝餐饮，但属于不同细分品类（火锅 vs 串串），并非简单的同级实体替换。
   - 核心诉求：查询隐含'寻找/推荐重庆老火锅'，结果提供'成都串串香探店'。用户要解决的任务从'找火锅'偏移到'找串串香'，且地域从重庆变成都。
3. 严苛修饰词检查：查询中的'重庆'和'老'是重要修饰词，结果完全丢失了这些限制（变成成都、串串香）。但根据红线规则，'火锅'是主语而非修饰词，因此不适用'丢词搜不准'。
4. 综合判断：宏观领域一致，但核心实体（火锅→串串香）和核心诉求（找火锅→找串串香）均发生偏移，符合'场景衍生'定义——用户要解决的问题从'寻找特定品类（火锅）'衍生到'寻找同地域风格的替代品类（串串香）'。
5. 边界模糊性：两者均为川渝特色餐饮，存在一定关联性，但品类和地域差异明显，判断为场景衍生而非完全不相关。",85,False,重庆 老 火锅 || 成都 串串香 探店 || 带你打卡宽窄巷子最地道的市井串串。,
24.0,附近 健身房 办卡,健身 教练 职业 发展 前景,做私教真的能月入过万吗？行业现状分析。,推荐场景衍生内容,推荐衍生场景内容,第一步：宏观领域判断。用户查询'附近 健身房 办卡'属于健身/运动服务领域，搜索结果'健身 教练 职业 发展 前景'也属于健身/运动领域，宏观领域一致。第二步：核心诉求与实体二维判断。用户核心诉求是'寻找附近健身房并办理会员卡'（具体消费行为），核心实体是'健身房'。搜索结果核心诉求是'了解健身教练职业发展前景'（职业咨询），核心实体是'健身教练'。虽然两者都在健身领域，但用户的核心动作/诉求从'办理健身服务'偏移为'了解职业发展'，属于诉求偏移。第三步：检查修饰词丢失。用户查询中的'附近'是地域限制词，搜索结果完全丢失了这个限制，但更重要的是核心诉求发生了根本性变化。根据判定大纲，这符合类别B'推荐场景衍生内容'的定义：宏观领域一致，但用户要解决的问题（任务/动作）发生了偏移。,85,False,附近 健身房 办卡 || 健身 教练 职业 发展 前景 || 做私教真的能月入过万吗？行业现状分析。,
25.0,减肥 食谱 一周,量子力学 薛定谔的猫,用通俗语言解释微观世界的叠加态。,完全不相关,完全不相关,"1. 宏观领域判断：用户查询'减肥 食谱 一周'属于健康/饮食/减肥领域，而搜索结果'量子力学 薛定谔的猫'属于物理学/科学领域。两者属于完全不同的超大行业/类目，毫无交集。
2. 多义词检查：查询中的'减肥'、'食谱'、'一周'与结果中的'量子力学'、'薛定谔的猫'不存在一词多义导致的概念偷换（如'苹果'水果变手机）。这是纯粹的跨界且无核心多义词歧义。
3. 根据判定大纲：若完全跨界且无多义词歧义，应判为【完全不相关】。
4. 置信度评估：领域差异极大，概念无关联，判断明确，置信度高。",95,True,减肥 食谱 一周 || 量子力学 薛定谔的猫 || 用通俗语言解释微观世界的叠加态。,
26.0,猫咪 绝育 注意事项,狗狗 绝育 术后 护理,宠物狗做完绝育手术后的饮食与伤口处理。,推荐同领域内容,推荐同领域内容,"1. 宏观领域判断：查询'猫咪绝育注意事项'与结果'狗狗绝育术后护理'都属于【宠物医疗/宠物护理】超大行业，领域一致。
2. 核心诉求与实体分析：用户的核心诉求（了解绝育相关注意事项/护理）完全一致，但核心实体从'猫咪'被替换为'狗狗'，属于同分类下的兄弟实体替换。
3. 严苛修饰词检查：查询中的'猫咪'是主语而非修饰词，结果中主语变为'狗狗'，这属于实体替换而非修饰词丢失。
4. 边界判断：虽然猫狗是不同的宠物物种，但在此医疗护理场景下，用户的根本诉求（获取绝育相关指导）未变，符合'同领域'定义中的'核心任务目标完全一致，仅具体对象发生同级替换'。无模糊边界，无需标记低置信度。",90,True,猫咪 绝育 注意事项 || 狗狗 绝育 术后 护理 || 宠物狗做完绝育手术后的饮食与伤口处理。,
27.0,零基础 英语 口语,雅思 8分 进阶 英语 口语,留学生必备的高级词汇与地道表达。,丢词搜不准,推荐场景衍生内容,"1. 宏观领域判断：Query '零基础 英语 口语' 与 Title '雅思 8分 进阶 英语 口语' 都属于【语言学习/英语教育】超大行业，领域一致。
2. 核心诉求与实体分析：
   - Query核心诉求：针对零基础学习者的英语口语入门教学。
   - Title核心诉求：针对已有基础（雅思8分水平）的进阶学习者，提供高级词汇和地道表达。
   - 核心实体：两者都围绕'英语口语'，实体未变。
   - 核心诉求变化：从'零基础入门'变为'进阶提升'，用户要解决的任务（从入门学习到高级提升）发生了明显偏移。
3. 修饰词检查：Query中的'零基础'是重要限制词，Title丢失了该限制词并替换为'雅思8分 进阶'，但'零基础'是修饰学习阶段的定语，不是主语（主语是'英语口语'），因此符合'核心实体未变但诉求偏移'的特征。
4. 边界判断：虽然诉求从入门变为进阶，但仍在英语口语学习宏观领域内，属于场景衍生而非完全不相关。无多义词歧义。
5. 最终归类：符合类别B【推荐场景衍生内容】定义——核心实体（英语口语）未变，但核心诉求/任务（从零基础入门到进阶提升）发生偏移。",85,False,零基础 英语 口语 || 雅思 8分 进阶 英语 口语 || 留学生必备的高级词汇与地道表达。,
28.0,英雄联盟 赛事,DOTA2 国际邀请赛 决赛,TI12总决赛精彩集锦回顾。,完全不相关,推荐同领域内容,第一步：宏观领域判断。Query'英雄联盟 赛事'与Title'DOTA2 国际邀请赛 决赛'都属于电子竞技游戏赛事领域，属于同一个超大行业（电子竞技），不存在跨界或多义词问题。第二步：核心诉求与实体二维判断。用户的核心诉求是'观看/了解英雄联盟的赛事'，核心实体是'英雄联盟'。Title提供的是'DOTA2'的赛事，核心实体从'英雄联盟'变成了'DOTA2'。两者都是MOBA类电子竞技游戏，属于同分类下的兄弟实体（竞品替换）。用户的【核心动作/诉求】（观看/了解赛事）没有改变，仅仅是【核心实体】被替换。这符合类别A【推荐同领域内容（平行实体替换）】的定义，类似于判例3（剪映教程变PR教程）。第三步：严苛修饰词检查。Query中的'赛事'是核心诉求的一部分，Title中的'国际邀请赛 决赛'是更具体的赛事类型，但核心实体的替换是主要问题，不属于丢失修饰词（如具体年份、型号）的情况。因此，归因为【推荐同领域内容】。置信度较高，因为两者在电子竞技赛事领域内，且核心诉求一致，实体替换明确。,90,False,英雄联盟 赛事 || DOTA2 国际邀请赛 决赛 || TI12总决赛精彩集锦回顾。,
29.0,显卡 跑分 软件,2021年 显卡 矿难 事件 回顾,当年被炒上天的显卡最后都去哪了？,推荐场景衍生内容,丢词搜不准,"1. 宏观领域判断：Query“显卡 跑分 软件”属于【电脑硬件/显卡性能测试】领域，Title“2021年 显卡 矿难 事件 回顾”属于【加密货币/显卡市场历史事件】领域。两者虽都涉及“显卡”这一实体，但核心关注点完全不同——前者关注性能测试工具，后者关注市场历史事件。
2. 多义词排雷：检查“显卡”是否存在一词多义导致概念偷换。此处“显卡”指同一硬件设备，没有歧义，但Query和Title的核心诉求发生了根本性偏移。
3. 核心诉求与实体分析：
   - 实体：两者都涉及“显卡”，实体未变。
   - 核心诉求：Query的诉求是“寻找性能测试软件”，Title提供的是“历史事件回顾”。诉求从“工具获取”偏移到“历史了解”，属于核心动作/诉求的明显偏移。
4. 修饰词检查：Query没有丢失修饰词问题，因为“跑分 软件”是核心诉求的一部分，不是修饰主语的定语。
5. 最终判定：根据判定大纲，这属于【场景衍生】——宏观领域（电脑硬件相关）一致，但用户要解决的问题（从找测试软件变为了解历史事件）发生了偏移。不符合“同领域”定义（核心任务目标不一致），也不属于“丢词搜不准”（没有丢失修饰主语的限制词）。",85,False,显卡 跑分 软件 || 2021年 显卡 矿难 事件 回顾 || 当年被炒上天的显卡最后都去哪了？,
30.0,考研 英语 真题,皇家马德里 欧冠 夺冠,皇马历史第十五次捧起大耳朵杯。,完全不相关,完全不相关,"1. 宏观领域判断：查询'考研 英语 真题'属于教育/考试领域，标题'皇家马德里 欧冠 夺冠'属于体育/足球领域。两者属于完全不同的超大行业/超大类目，毫无交集。
2. 多义词排雷：检查是否存在一词多义导致的概念偷换。查询中的'考研'指研究生入学考试，'英语'指语言科目，'真题'指历年考试题目；标题中的'皇家马德里'是足球俱乐部，'欧冠'是欧洲冠军联赛，'夺冠'指获得冠军。这些词汇在各自领域都有明确含义，没有出现像'苹果'（水果/手机）这样的多义词歧义。
3. 核心诉求与实体分析：查询的核心诉求是获取考研英语的历年考试题目用于备考，核心实体是'考研英语真题'；标题的核心诉求是报道足球赛事结果，核心实体是'皇家马德里欧冠夺冠'。两者在诉求和实体上完全不同。
4. 修饰词检查：不适用，因为两者属于完全不同的领域。
5. 结论：这是纯粹的跨界且无核心多义词歧义的情况，符合'完全不相关'的定义。",95,True,考研 英语 真题 || 皇家马德里 欧冠 夺冠 || 皇马历史第十五次捧起大耳朵杯。,
31.0,水彩画 风景 教程,素描 人物 头像 临摹,美术联考必备的黑白灰素描关系处理。,推荐同领域内容,推荐场景衍生内容,"1. 宏观领域判断：用户搜索'水彩画 风景 教程'属于美术绘画领域，结果'素描 人物 头像 临摹'也属于美术绘画领域，两者在超大行业/超大类目上一致，不存在跨界问题。
2. 核心诉求与实体分析：用户的核心诉求是学习'教程'（教学指导），结果提供的是'临摹'（模仿练习），虽然都是绘画学习形式，但'教程'强调系统性教学，'临摹'强调模仿实践，诉求形式发生了偏移。
3. 实体分析：用户的核心实体是'水彩画'和'风景'，结果实体是'素描'和'人物头像'。绘画媒介从水彩变为素描（不同绘画技法），绘画主题从风景变为人物头像（不同绘画对象），实体发生了双重替换。
4. 严苛修饰词检查：没有丢失具体限制词/定语的情况，主语（绘画类型和主题）已完全改变。
5. 综合判断：虽然同属美术领域，但用户的【核心动作/诉求】从'学习教程'偏移为'临摹练习'，【核心实体】从'水彩风景'替换为'素描人物'，既不符合'同领域'（诉求未完全一致），也不符合'丢词搜不准'（主语已变）。这属于宏观领域一致但用户要解决的问题（任务/形式）发生了偏移，符合'场景衍生'定义。",85,False,水彩画 风景 教程 || 素描 人物 头像 临摹 || 美术联考必备的黑白灰素描关系处理。,
